id,question_id,value,index,presentation_colour,presentation_percentage
353,31,"sleepies, sleepy",4,5,5
354,31,"gunk, eye gunk, sleep gunk, guck, eye guck",5,2,12
355,31,"crust, eye crust",6,4,9
356,31,sand,7,6,4
358,31,sleepers,8,,1
359,31,"sleepy seeds, seepy seeds",9,,0
360,31,crackling,10,,0
361,31,"sleepy bugs",11,,0
362,31,"shit, eye shit",12,,1
363,31,"crunchies, eye crunchies",13,,0
364,31,matter,14,,0
365,31,"sleep(y) sand",15,,0
366,31,"crud, cruds, eye crud",16,,2
367,31,"gook, gookies",17,,1
368,31,"sleep(y) dust",18,,0
369,31,"sleepy eye",19,,0
370,31,"sleepy slivers",20,,0
371,31,"eye crispies",21,,0
372,31,w(h)eepies,22,,0
373,31,"sleep(y) dirt",23,,0
374,31,"eye goo",24,,1
375,31,"eye poop",25,,0
376,31,"goop, goopie, eye goop",26,,1
377,31,"eye cookies",27,,0
378,31,"eye snot",28,,0
379,31,"eye junk",29,,0
380,31,"stuff, sleep(y) stuff",30,,0
381,31,"goobers, eye goobers",31,,0
382,31,"shmutz, eye shmutz",32,,0
383,31,"maka pia pia, makapeapea",33,,0
384,31,"sandman, sandmen",34,,0
385,31,"eye jam",35,,0
386,31,"lagaÃ±as",36,,0
387,31,"winkies, eye winkies, eye winkers",37,,0
388,31,"sleepy winkers, sleeper winkers, sleepy winks",38,,0
389,31,"chicken feet",39,,0
390,31,"eye butter",40,,0
391,31,"sleepy tides",41,,0
392,31,"Mr. Sleep",42,,0
393,31,"cat gunk",43,,0
394,31,"duck poop",44,,0
395,31,"sleep eye",45,,0
764,67,"with the same vowel as in the word ""ah""",1,1,18
765,67,"with the same vowel as in the word ""man""",2,0,60
766,67,"with the same vowel as in the word ""dawn"", which for me is *not* the same sound as in ""don""",3,5,3
767,67,"with the same vowel as in the word ""dawn"", which for me *is* the same sound as in ""don""",4,3,4
768,67,"with the same vowel as in the word ""ain't""",5,4,3
769,67,"with the vowel in ""don"" when referring to the general concept of an aunt, but with the vowel in ""man"" when referring to a specific person by name (e.g. ""Aunt Mary"")",6,2,5
770,67,"with the vowel in ""man"" when referring to the general concept of an aunt, but with the vowel in ""don"" when referring to a specific person by name (e.g. ""Aunt Mary"")",7,6,1
771,68,"garage sale",1,0,42
772,68,"yard sale",2,1,33
773,68,"tag sale",3,4,1
774,68,"rummage sale",4,3,4
775,68,"stoop sale",5,,0
776,68,"sidewalk sale",6,,0
777,68,"thrift sale",7,,0
778,68,"jumble, jumble sale",8,,1
779,68,"patio sale",9,,0
780,68,"carport sale",10,,0
781,68,"car boot sale",11,6,1
782,68,"yard sale and garage sale are interchangeable, but I wouldn't use any of the others",12,2,11
783,68,"estate sale",13,5,1
784,68,"garbage sale",14,,0
785,68,"junk sale",15,,0
786,68,"I have no specific term for this",16,,0
787,68,"lawn sale",17,,0
788,69,"shopping cart",1,0,50
789,69,"grocery cart",2,1,20
790,69,"buggy, shopping buggy",3,3,7
791,69,"carriage, shopping carriage",4,6,1
792,69,"trolley, supermarket trolley, shopping trolley",5,5,3
793,69,"wagon, shopping wagon",6,,0
794,69,"cart (but not shopping cart or grocery cart)",7,2,12
795,69,"basket, grocery basket, shopping basket",8,4,3
796,69,"push cart",9,,0
797,69,bascart,10,,0
798,70,"traffic circle",1,1,24
799,70,roundabout,2,0,50
800,70,rotary,3,3,7
801,70,circle,4,2,7
802,70,square,5,,0
803,70,"traffic circus",6,,0
804,70,"suicide circle",7,,0
805,70,"jug handle",8,,0
806,70,roundy,9,,0
807,70,"suicide loop",10,,0
808,70,rodeo,11,,0
809,70,turnaround,12,,0
810,70,interchange,13,,0
811,70,turnabout,14,,0
812,70,loop,15,5,1
813,70,"circle drive",16,,0
814,70,cloverleaf,17,,0
815,70,"I have no specific term for this",18,4,3
816,71,"Yes, I always pronounce the [r]",1,0,91
817,71,"No, I never pronounce the [r]",2,3,2
818,71,"I pronounce the [r] when the next word begins with a vowel (""the bar is open"") but not when the next word begins with a consonant",3,2,2
819,71,"I'm not sure whether I pronounce the [r] or not in such cases",4,1,3
820,72,"""sawing"" and ""saw it"" - I don't pronounce an [r] in either one",1,0,93
821,72,"I can say ""saw[r]ing"", but I would never pronounce an [r] in ""saw it""",2,3,1
822,72,"I can say ""saw[r] it"", but I would never pronounce an [r] in ""sawing""",3,2,1
823,72,"""saw[r]ing"" and ""saw[r] it"" - I pronounce an [r] in both",4,1,2
825,73,"blah-ish (no [r])",1,0,74
826,73,"blah[r]ish (I pronounce an [r])",2,2,1
827,73,"blah-ish or blah[r]ish (I can pronounce this with or without an [r]--both sound acceptable to me)",3,3,1
828,73,"I would avoid saying this form, so as to avoid having to decide whether to pronounce an [r] or not",4,1,8
829,74,"""shah[r] of"" (I pronounce an [r])",1,1,4
830,74,"""shah of"" (I don't pronounce an [r])",2,0,89
831,74,"""shah of "" or ""shah[r] of"" (I can either pronounce an [r] or not--both sound acceptable to me)",3,3,1
832,74,"I would avoid using this phrasing, so that I wouldn't have to decide whether to pronounce an [r] or not",4,2,3
833,75,"they are identical: both begin with a [w] sound",1,0,79
834,75,"they are different: <witch> begins with a [w] sound, and <which> begins with a sort of [hw] sound",2,2,9
835,75,"I always pronounce <witch> with a [w] sound; I can pronounce <which> with either a [w] or a [hw] sound",3,1,9
836,76,dinner,1,0,58
837,76,supper,2,2,11
838,76,tea,3,6,1
839,76,"either dinner or supper; I don't distinguish the two",4,1,15
840,76,"supper is an evening meal while dinner is eaten earlier",5,5,1
841,76,"supper informally, and dinner in formal situations",6,3,5
842,76,"""dinner"" for the meal Monday through Saturday, ""supper"" for the meal on Sunday",7,,0
843,76,"""supper"" for the meal Monday through Saturday, ""dinner"" for the meal on Sunday",8,,0
844,76,"dinner informally, and supper in formal situations",9,,0
845,76,"dinner is an evening meal while supper is eaten earlier",10,,0
846,76,"dinner is the main meal in the evening; supper is something I eat late at night before I go to bed",11,,0
847,76,"dinner is a big meal; supper is a lighter meal",12,4,1
848,76,"""dinner"" is the midday meal, and the evening meal is ""tea""",13,,0
849,77,"""in line"" or ""in a line""",1,0,88
850,77,"""on line"" or ""on a line""",2,2,4
851,77,"""in a lineup""",3,,0
852,77,"""in a queue""",4,1,5
853,78,couch,1,0,43
854,78,sofa,2,2,18
855,78,chesterfield,3,,0
856,78,davenport,4,6,1
857,78,settee,5,5,1
858,78,divan,6,,0
859,78,"I use ""couch"" and ""sofa"" interchangeably, but none of the others",7,1,24
861,78,"I use both couch and sofa, but a sofa is fancier than a couch",8,3,4
862,78,"I use both couch and sofa, but a couch is bigger than a sofa",9,4,2
863,78,lounge,10,,0
864,79,"liquor store",1,0,74
865,79,"package store (or packie)",2,2,4
866,79,"ABC store",3,1,5
867,79,"party store",4,6,1
868,79,"off-licence or offie",5,4,2
869,79,"state store, state liquor store",6,3,2
870,79,"beer store",7,5,2
871,79,LCBO,8,,1
872,79,"class 6",9,,0
873,79,"bottle shop or bottle-o",10,,1
874,79,SAQ,11,,0
875,79,"beer depot",12,,0
876,79,"liquor commission",13,,0
877,79,LC,14,,0
878,79,"grog shop",15,,0
879,79,muni,16,,0
880,79,"distributor or beverage distributor",17,,0
881,79,dispensary,18,,0
882,79,"spirits shop",19,,0
883,79,off-sale,20,,0
884,79,"dep or dÃƒÂ©panneur",21,,0
885,80,bathroom,1,0,32
886,80,restroom,2,1,31
887,80,"men's room or ladies' room",3,2,14
888,80,toilet,4,3,4
889,80,washroom,5,4,2
890,80,head,6,,1
891,80,john,7,,1
892,80,WC,8,,0
893,80,loo,9,,1
894,80,dunny,10,,0
895,80,shitter,11,,1
896,80,can,12,,0
897,80,"lavatory or lav",13,,1
898,80,"gents' or ladies'",14,,1
899,80,facilities,15,5,1
900,80,bog,16,,0
901,80,pisser,17,,0
902,80,crapper,18,,0
903,80,"little girl's room",19,6,1
904,81,"emergency brake",1,0,48
905,81,"parking brake",2,1,31
906,81,"hand brake",3,3,9
907,81,"e brake",4,2,9
908,82,stick-shift,1,0,35
909,82,stick,2,2,24
910,82,"manual (transmission)",3,1,27
911,82,"standard (transmission)",4,3,8
912,82,five-speed,5,4,2
913,82,"I have no special term for this",6,,0
914,82,"straight drive",7,,0
915,82,"straight stick",8,,0
916,83,"pacifier or passie",1,0,65
917,83,binky,2,1,19
918,83,"nuk, nook, nookie, nuchie, noodgie, noo noo, nunu, noonie",3,2,3
919,83,peacifier,4,,0
920,83,"dummy or dumdum",5,3,3
921,83,"sucker, suckie",6,,0
922,83,soother,7,4,1
923,83,"plug or plugger",8,5,1
924,83,"fooler, fuller",9,,0
925,83,"sucie, suce, su su",10,,0
926,83,choo-choo,11,,0
927,83,chupon,12,,0
928,83,"tut tut",13,,0
929,84,take-out,1,0,53
930,84,carry-out,2,2,12
931,84,take-away,3,3,4
932,84,take-home,4,,0
933,84,to-go,5,1,24
934,84,pick-up,6,4,3
935,84,carry-in,7,,0
936,85,waterbug,1,0,40
937,85,"water strider",2,2,10
938,85,"water spider",3,3,5
939,85,water-skeeter,4,5,3
940,85,"pond skimmer",5,6,2
941,85,"water skimmer",6,4,3
942,85,"water skipper",7,,2
943,85,skimmer,8,,1
944,85,"water beetle",9,,1
945,85,"skeeter or skeeter bug",10,,1
946,85,"water skater",11,,1
947,85,"water boatman",12,,1
948,85,"Jesus bug",13,,1
949,85,strider,14,,0
950,85,"pond skater",15,,1
951,85,"mosquito eater, skeeter eater",16,,1
952,85,"water skier, water skier bug",17,,0
953,85,"skitter bug",18,,0
954,85,"water crawler",19,,0
955,85,"water dog",20,,0
956,85,"water skate",21,,0
957,85,"skimmer bug",22,,0
958,85,"back strider",23,,0
959,85,skidder,24,,0
960,85,"water walker",25,,0
961,85,boatman,26,,0
962,85,"skater, skater bug",27,,0
963,85,whirligig,28,,0
964,85,"skate bug",29,,0
965,85,"penny bug",30,,0
966,85,"pond skipper",31,,0
967,85,"mosquito hawk",32,,0
968,85,water-sprite,33,,0
969,85,"water slider",34,,0
970,85,"tweedle beetle",35,,0
971,85,"I have no word for this critter",36,1,17
972,86,alley,1,0,63
973,86,alleyway,2,1,20
974,86,walkway,3,4,1
975,86,backstreet,4,3,2
976,86,gangway,5,,0
977,86,gap,6,,0
978,86,lane,7,5,1
979,86,cut,8,,0
980,86,laneway,9,,0
981,86,backlane,10,,0
982,86,gulley,11,,0
983,86,ginnel,12,,0
984,86,entry,13,,0
985,86,jitty,14,,0
986,86,jennel,15,,0
987,86,snicket,16,,0
988,86,tenfoot,17,,0
989,86,twitten,18,,0
990,86,vennel,19,,0
991,86,twitchel,20,,0
992,86,mews,21,,0
993,86,airyway,22,,0
994,86,"back alley",23,2,7
995,86,"I have no word for this",24,,0
996,87,"ATM, ATM machine",1,0,78
997,87,"cash machine",2,1,7
998,87,"bank machine",3,2,3
999,87,"MAC machine",4,3,2
1000,87,"TYME machine",5,,0
1001,87,"money machine",6,6,1
1002,87,hole-in-the-wall,7,,1
1003,87,"automatic teller or automated teller",8,5,1
1004,87,cashpoint,9,4,1
1005,87,"cash dispenser",10,,0
1006,87,"automated banking machine or ABM",11,,0
1007,87,"cash station",12,,0
1008,87,cashbox,13,,0
1009,87,"Bancomat or Bankomat",14,,0
1010,87,ChemKey,15,,0
1011,87,guichet,16,,0
1012,87,"teller, teller machine",17,,0
1013,87,autobank,18,,0
1014,88,"pinkie toe",1,0,48
1015,88,"little toe",2,1,21
1016,88,pinkie,3,2,16
1017,88,"baby toe",4,3,8
1018,88,"small toe",5,4,1
1019,88,"piggie, piggie toe, little piggie",6,5,1
1020,88,"I have no special term for this",7,,0
1021,89,"green onion",1,0,46
1022,89,scallion,2,1,25
1023,89,"spring onion",3,3,5
1024,89,shallot,4,5,3
1025,89,leek,5,4,4
1026,89,"stone leek",6,,0
1027,89,"salad onion",7,,0
1028,89,"Chinese onion",8,,0
1029,89,"bunching onion",9,,0
1030,89,"winter onion",10,,0
1031,89,"long onion",11,,0
1032,89,chive,12,2,8
1033,89,"wild onion",13,,1
1034,89,"I have no special term for this",14,6,2
1035,90,"scone (rhymes with bone)",1,0,77
1036,90,"scon (rhymes with gone)",2,1,12
1038,90,"I've never said this word and don't know how to pronounce it",3,2,3
1039,91,"barm or barm cake",1,,0
1040,91,"bread roll",2,2,12
1041,91,bap,3,,0
1042,91,batch,4,,0
1043,91,"bread cake",5,,0
1044,91,roll,6,0,60
1045,91,"tea cake",7,,0
1046,91,"bin lid",8,,
1047,91,blaa,9,,0
1048,91,"bulkie roll",10,,0
1049,91,bun,11,3,6
1050,91,cob,12,,0
1051,91,"dinner roll",13,1,14
1052,91,"flour cake",14,,0
1053,91,"french roll",15,4,1
1054,91,muffin,16,,0
1055,91,stottie,17,,0
1056,92,"with a long ""ah"" sound, as in the word ""farm""",1,1,11
1057,92,"with a short ""a"" sound, as in the word ""mass""",2,0,88
1058,93,alley,1,,77
1059,93,alleyway,2,,15
1060,93,cut,3,4,0
1061,93,cutting,4,,0
1062,93,ginnel,5,3,1
1063,93,jennel,6,,0
1064,93,snicket,7,6,0
1065,93,"ten foot",8,,0
1066,93,snickelway,9,,0
1067,93,twitten,10,,0
1068,93,entry,11,5,0
1069,93,jigger,12,,0
1070,93,jitty,13,0,0
1071,93,gulley,14,,0
1072,93,twichell,15,,0
1073,93,close,16,1,0
1074,93,wynd,17,,0
1075,93,pend,18,,0
1076,93,vennel,19,,0
1077,93,lane,20,2,1
1078,94,chav,1,1,12
1079,94,townie,2,3,4
1080,94,scally,3,4,1
1081,94,ned,4,,0
1082,94,pikey,5,5,1
1083,94,teenager,6,0,38
1084,94,tart,7,,0
1085,94,kev,8,,0
1086,94,charva,9,,0
1087,94,trendy,10,2,5
1088,95,haitch,1,1,11
1089,95,aitch,2,0,87
1090,94,"gary boy",11,,0
1091,96,pants,1,3,7
1092,96,underpants,2,1,13
1093,96,kecks,3,,0
1094,96,kegs,4,,0
1095,96,briefs,5,2,9
1096,96,knickers,6,5,3
1098,96,underwear,7,0,55
1099,96,smalls,8,,0
1100,96,drawers,9,4,3
1101,96,trunks,10,,0
1102,96,slip,11,,0
1103,96,Y-fronts,12,,0
1104,97,"it rhymes with ""gate""",1,0,93
1105,97,"it rhymes with ""get""",2,1,5
1106,98,sneakers,1,1,25
1107,98,trainers,2,0,29
1108,98,runners,3,3,4
1109,98,"tennis shoes",4,2,25
1110,98,"gym shoes",5,4,3
1111,98,"sand shoes",6,,0
1112,98,plimsolls,7,5,1
1113,98,"daps or dappers",8,,0
1114,98,pumps,9,,1
1115,98,slippers,10,,0
1116,98,gutties,11,,0
1117,98,sannies,12,,0
1118,98,"tekkies or takkies",13,,0
1119,98,keds,14,,0
1120,98,kicks,15,6,1
1121,99,"It begins with ""sh"", like shed",1,1,9
1122,99,"It begins with ""sk"", like ""sketch""",2,0,89
1124,100,trousers,1,1,15
1125,100,pants,2,0,72
1126,100,slacks,3,2,7
1127,100,strides,4,,0
1128,100,kegs,5,,0
1129,100,"kecks or kex",6,,0
1130,100,breeches,7,,0
1131,100,britches,8,3,2
1132,100,breeks,9,,0
1133,100,trews,10,,0
1137,102,soda,1,0,44
1138,102,"fizzy drink",2,4,8
1139,102,pop,3,1,20
1140,102,"soft drink",4,3,9
1141,102,juice,5,,0
1142,102,ginger,6,,0
1143,102,mineral(s),7,,0
1144,102,"soda pop",8,5,2
1145,102,lemonade,9,,0
1146,102,coke,10,2,11
1147,102,"cold drink",11,,0
1148,102,"fizzy juice",12,,0
1149,102,jeg,13,,0
1150,102,"cool drink",14,,0
1151,102,"sweet drink",15,,0
1152,103,siksth,1,0,81
1153,103,"sikth (no s sound between the k and the th)",2,1,17
1154,100,grollies,11,,0
1155,100,shreddies,12,,
1156,91,stick,18,,
1157,91,fadgie,19,,0
1158,91,loaf,20,,0
1159,91,butty,21,,0
1160,91,"balm or balm cake",22,,0
1161,104,"chip butty",1,1,15
1162,104,"chip sandwich",2,0,31
1163,104,"chip barm",3,,0
1164,104,"chip cob",4,,0
1165,104,piece-n-chips,5,,0
1166,104,"chip bap",6,,0
1167,104,"hot chip sanga",7,,0
1168,105,"with same vowel as in ""bold""",1,2,3
1169,105,"with the same vowel as in ""ah""",2,1,28
1170,106,"bin man",1,2,11
1171,106,"dust man",2,4,3
1172,106,"dustbin man",3,5,3
1173,106,"refuse collector",4,,0
1174,106,"waste collector",5,3,5
1175,107,"a-gane (with the vowel in ""brain"")",1,1,7
1176,107,"a-gen (with the vowel in ""den"")",2,0,90
1177,108,roundabout,1,0,61
1178,108,island,2,3,2
1179,108,rotary,3,2,6
1180,108,"traffic circle",4,1,28
1181,108,"traffic circus",5,,0
1182,109,"the same as the vowel in ""beat""",1,0,92
1183,109,"the same as the vowel in ""bit""",2,1,3
1184,109,"the same as the vowel in ""bet""",3,2,2
1185,110,"clothes horse",1,2,9
1186,110,maiden,2,,0
1187,110,"clothes rack",3,1,38
1188,110,"drying horse",4,,0
1189,110,winterdyke,5,,0
1190,110,"clothes maiden",6,,0
1191,110,"drying rack",7,0,45
1192,110,airer,8,3,2
1193,111,"with the consonant sound in ""judge""",1,1,16
1194,111,"with the consonant sound in ""church""",2,0,77
1195,112,soccer,1,0,80
1196,112,football,2,1,18
1197,113,"with the vowel [É‘] (""ah"", or in popular spelling ""cinemar"")",1,1,33
1198,113,"with the vowel [É™] (""uh"", or in popular spelling ""cinemer""))",2,0,64
1199,114,barley,1,4,1
1200,114,"fainites or feign knights",2,,0
1201,114,crosses,3,,0
1202,114,kings,4,,0
1203,114,pegs,5,,0
1204,114,nibs,6,,0
1205,114,"kings cross or kings ex",7,,0
1206,114,pax,8,3,2
1207,114,keys,9,,0
1208,114,"skinch, skinge",10,,0
1209,114,cree,11,,0
1210,114,scribs,12,,0
1211,114,barley-bay,13,,
1212,114,barley-bees,14,,
1213,114,barlow,15,,0
1214,114,barrels,16,,0
1215,114,screams,17,,0
1216,114,fains,18,,0
1217,114,vains,19,,0
1218,114,vainites,20,,0
1219,114,fennits,21,,
1220,114,vannies,22,,0
1221,114,fainsies,23,,0
1222,114,faylines,24,,0
1223,114,vainlights,25,,0
1224,114,vainyards,26,,
1225,114,queens,27,,0
1226,114,cruces,28,,0
1227,114,creases,29,,0
1228,114,scruces,30,,
1229,114,screwsies,31,,
1230,114,screws,32,,0
1231,114,exes,33,,0
1232,114,"bar, bars",34,,0
1233,114,squibs,35,,0
1234,114,finns,36,,0
1235,114,bees,37,,0
1236,114,blobs,38,,0
1237,114,croggies,39,,0
1238,114,denny,40,,0
1239,114,keppies,41,,0
1240,114,locks,42,,0
1241,114,peas,43,,0
1242,114,peril,44,,0
1243,114,nix,45,,0
1244,114,truce,46,0,33
1245,114,snakes,47,,0
1246,114,twigs,48,,0
1247,114,jecs,49,,0
1248,114,"cross keys",50,,0
1249,114,pips,51,,0
1250,114,"force field",52,,0
1251,114,quits,53,2,7
1252,115,woodlouse,1,0,36
1253,115,"cheese log",2,,0
1254,115,"cheesy bob",3,,0
1255,114,cribs,54,,0
1256,115,"granny grunter",4,,0
1257,115,"sow pig",5,,0
1258,115,"cheesy bug",6,,0
1259,115,"cheesy hog",7,,0
1260,115,chiggywig,8,,0
1261,115,"parsons pig",9,,0
1262,115,"chuggy pig",10,,0
1263,115,"chiggy pig",11,,0
1264,115,"daddy gramfer",12,,0
1265,115,"daddy gampfer",13,,0
1267,115,aquinas,15,,0
1268,115,"granny grey",16,,0
1269,115,grub,17,1,4
1270,115,"hardy back",18,,0
1271,115,schmerbecker,19,,0
1272,115,"pecker bug",20,,0
1273,115,pooky,21,,0
1274,115,slater,22,2,1
1275,115,"wood bug",23,3,1
1276,115,"wood pig",24,,0
1277,115,pig,25,,0
1278,115,diggle,26,,
1279,115,grammersow,27,,0
1280,115,"chucky pig",28,,0
1281,115,chillywig,29,,0
1282,115,"billy button",30,,
1283,115,"bibble bug",31,,0
1284,115,"curd worm",32,,0
1285,115,"toggy hog",33,,0
1286,115,leatherjacket,34,,0
1287,115,"gramfy grooger",35,,
1288,115,peaball,36,,0
1289,115,monkeypea,37,,0
1290,115,"coffin cutter",38,,0
1291,115,"eerie bug",39,,0
1292,115,"chuggy peg",40,,0
1293,115,menace,41,,0
1294,115,"tiggy hog",42,,0
1295,115,shoelace,43,,0
1296,115,"sink louse",44,,
1297,115,"slater beetle",45,,0
1298,115,"pea bug",46,,0
1299,115,"wiggy wogger",47,,0
1300,115,"wug louse",48,,0
1301,115,mousewood,49,,
1302,115,gluggie,50,,0
1303,115,"cheese mouse",51,,
1304,115,pigeen,52,,
1305,115,"chicky pig",53,,0
1307,115,moldywarp,54,,0
1308,115,"penny pig",55,,0
1309,115,"cud worm",56,,0
1310,115,tank,57,,0
1311,115,"curly bob",58,,0
1312,115,"curly baker",59,,0
1313,115,cheeselip,60,,0
1314,105,"with the same vowel as ""fall"", but different than the vowels in ""bold"" and ""ah""",3,0,66
1317,116,"It rhymes with ""put""",1,1,14
1318,116,"It doesn't rhyme with ""put""",2,0,83
2030,240,pop,1,0,39
2031,240,soda,2,1,37
2032,240,coke,3,2,18
2033,240,"soft drink",4,3,1
2034,240,tonic,5,,0
2035,240,"soda pop",6,,0
2036,240,drink,7,,0
2037,240,Pepsi,8,,0
2038,240,"cold drink",9,,0
2039,240,cola,10,,0
2040,240,"brand name",11,,0
2041,240,"soda water",12,,0
2042,240,sodie,13,,0
2043,240,"Other responses",14,,0
2044,241,"[É‘] as in ""ah""",1,1,9
2045,241,"[Ã¦] as in ""ant""",2,0,76
2046,241,"[É’] as in ""caught""",3,4,2
2047,241,"I have the same vowel in ""ah"", ""caught"", and ""aunt""",4,3,2
2048,241,"I pronounce it the same as ""ain't""",5,,0
2049,241,"I use [É‘/É’] when referring to the general concept of an aunt, but [Ã¦] when referring to a specific person by name.",6,2,5
2050,241,"I use [Ã¦] when referring to the general concept of an aunt, but [É‘/É’] when referring to a specific person by name.",7,5,1
2051,241,other,8,,0
